Population,Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
All Population,Punjab,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.0030315775044746423,0.0016586801764040717,0.004808282436823982
All Population,Rajasthan,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,18,,
All Population,Rajasthan,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.0033022914882275068,0.0018921049632453699,0.005144356600626557
All Population,Sikkim,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,17,,
All Population,Sikkim,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.0014101989151928435,0.0008188032535927397,0.002216457740906644
All Population,Tamil Nadu,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,18,,
All Population,Tamil Nadu,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.0022827460156496426,0.0014608610354980064,0.0034418002980952296
All Population,Telangana,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,16,,
All Population,Telangana,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.008584136916010319,0.0054634221084656105,0.01638580068712531
All Population,Tripura,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,12,,
All Population,Tripura,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.018345435369703213,0.0017584631375588834,0.07247222898059696
All Population,Uttar Pradesh,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,17,,
All Population,Uttar Pradesh,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.00515084186916111,0.0029701995081744263,0.008066213576223745
All Population,Uttarakhand,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,18,,
All Population,Uttarakhand,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.0026553746550469336,0.0012172432133568621,0.0048908166416205805
All Population,West Bengal,2021,15-49 years,Both,Neglected tropical diseases and malaria,Death rank,18,,
All Population,West Bengal,2021,15-49 years,Both,Neglected tropical diseases and malaria,Percent of total deaths,0.00420158572219458,0.0029169473006634967,0.0062500124643504185
All Population,Andhra Pradesh,2021,15-49 years,Both,Other infectious diseases,Death rank,12,,
All Population,Andhra Pradesh,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.01886989916041212,0.015977181196242314,0.021907252439585526
All Population,Arunachal Pradesh,2021,15-49 years,Both,Other infectious diseases,Death rank,11,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.021828854206531877,0.018358387590712764,0.02584421743638303
All Population,Assam,2021,15-49 years,Both,Other infectious diseases,Death rank,12,,
All Population,Assam,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.020577479906874495,0.016449410867366822,0.026093571825141673
All Population,Bihar,2021,15-49 years,Both,Other infectious diseases,Death rank,14,,
All Population,Bihar,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.0200546902807838,0.015542462962266409,0.024976510029550775
All Population,Chhattisgarh,2021,15-49 years,Both,Other infectious diseases,Death rank,17,,
All Population,Chhattisgarh,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.011143409756039621,0.008625617868273042,0.015204449649120355
All Population,Delhi,2021,15-49 years,Both,Other infectious diseases,Death rank,14,,
All Population,Delhi,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.012883715470091348,0.010289119097017954,0.017489315877093535
All Population,Goa,2021,15-49 years,Both,Other infectious diseases,Death rank,14,,
All Population,Goa,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.008870157170887565,0.00716367225977598,0.012663546734999523
All Population,Gujarat,2021,15-49 years,Both,Other infectious diseases,Death rank,12,,
All Population,Gujarat,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.017963667683396207,0.015646622303678474,0.020879425241037787
All Population,Haryana,2021,15-49 years,Both,Other infectious diseases,Death rank,14,,
All Population,Haryana,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.011937539082133438,0.010119393808670786,0.014544104979559434
All Population,Himachal Pradesh,2021,15-49 years,Both,Other infectious diseases,Death rank,15,,
All Population,Himachal Pradesh,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.010476277080065956,0.008496936243294072,0.013719988956786035
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Other infectious diseases,Death rank,12,,
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.016787638896178472,0.014223286914604233,0.020138826917939376
All Population,Jharkhand,2021,15-49 years,Both,Other infectious diseases,Death rank,13,,
All Population,Jharkhand,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.01706735493166617,0.013054385380508002,0.022426083567329454
All Population,Karnataka,2021,15-49 years,Both,Other infectious diseases,Death rank,13,,
All Population,Karnataka,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.013344614027243839,0.011507818417598691,0.016158444111988714
All Population,Kerala,2021,15-49 years,Both,Other infectious diseases,Death rank,12,,
All Population,Kerala,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.011574180278307861,0.009695013189491251,0.014247175105827662
All Population,Madhya Pradesh,2021,15-49 years,Both,Other infectious diseases,Death rank,13,,
All Population,Madhya Pradesh,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.017103996201997804,0.014709949571326838,0.020305312388440612
All Population,Maharashtra,2021,15-49 years,Both,Other infectious diseases,Death rank,13,,
All Population,Maharashtra,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.013748973864765653,0.011818471566699433,0.016629717323999194
All Population,Manipur,2021,15-49 years,Both,Other infectious diseases,Death rank,15,,
All Population,Manipur,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.009491362478443203,0.007778686128396803,0.012412975805561154
All Population,Meghalaya,2021,15-49 years,Both,Other infectious diseases,Death rank,12,,
All Population,Meghalaya,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.018837265702387175,0.015893807054554662,0.023046995864477123
All Population,Mizoram,2021,15-49 years,Both,Other infectious diseases,Death rank,15,,
All Population,Mizoram,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.01340985656431492,0.010935438755380715,0.01657719990137759
All Population,Nagaland,2021,15-49 years,Both,Other infectious diseases,Death rank,12,,
All Population,Nagaland,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.019645822917429803,0.015967489785843045,0.023907075802066368
All Population,Odisha,2021,15-49 years,Both,Other infectious diseases,Death rank,14,,
All Population,Odisha,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.014049050473082558,0.011219302432934163,0.017925697470917205
All Population,Other Union Territories,2021,15-49 years,Both,Other infectious diseases,Death rank,14,,
All Population,Other Union Territories,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.01076953796701043,0.009113575031009485,0.014770675297492514
All Population,Punjab,2021,15-49 years,Both,Other infectious diseases,Death rank,14,,
All Population,Punjab,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.011366070183794836,0.009685448270668485,0.013741336090457863
All Population,Rajasthan,2021,15-49 years,Both,Other infectious diseases,Death rank,13,,
All Population,Rajasthan,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.014096659545539975,0.011904794228984389,0.01732696990719446
All Population,Sikkim,2021,15-49 years,Both,Other infectious diseases,Death rank,12,,
All Population,Sikkim,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.012180630249809544,0.010490738804816834,0.014288825385402592
All Population,Tamil Nadu,2021,15-49 years,Both,Other infectious diseases,Death rank,10,,
All Population,Tamil Nadu,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.016124650681910057,0.012905927160583173,0.01918523238845838
All Population,Telangana,2021,15-49 years,Both,Other infectious diseases,Death rank,13,,
All Population,Telangana,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.01982918703651017,0.01615795933748541,0.02359445863529056
All Population,Tripura,2021,15-49 years,Both,Other infectious diseases,Death rank,14,,
All Population,Tripura,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.012072877107216062,0.010090674904896027,0.014903716000671419
All Population,Uttar Pradesh,2021,15-49 years,Both,Other infectious diseases,Death rank,12,,
All Population,Uttar Pradesh,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.020225327790122444,0.017165621417420625,0.023883934277495213
All Population,Uttarakhand,2021,15-49 years,Both,Other infectious diseases,Death rank,12,,
All Population,Uttarakhand,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.014215442127532469,0.012224761553834241,0.01694240802816576
All Population,West Bengal,2021,15-49 years,Both,Other infectious diseases,Death rank,12,,
All Population,West Bengal,2021,15-49 years,Both,Other infectious diseases,Percent of total deaths,0.016672732029822675,0.014253420466869691,0.020028792953065536
All Population,Andhra Pradesh,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,18,,
All Population,Andhra Pradesh,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.006324596018846708,0.003833785583071295,0.009248581412002958
All Population,Arunachal Pradesh,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,14,,
All Population,Arunachal Pradesh,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.016725147360363075,0.00959809447465234,0.0270439554655496
All Population,Assam,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,13,,
All Population,Assam,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.017046588779136562,0.012272416660458012,0.022748128004278136
All Population,Bihar,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,11,,
All Population,Bihar,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.027455468186889136,0.0206462491506289,0.03539456060439699
All Population,Chhattisgarh,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,16,,
All Population,Chhattisgarh,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.012226295244548211,0.008695226190413966,0.016905042202057127
All Population,Delhi,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,16,,
All Population,Delhi,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.009164887725521237,0.005096248943790744,0.014952111277907767
All Population,Goa,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,17,,
All Population,Goa,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.004974981979827618,0.0025971612335558996,0.00854345044685099
All Population,Gujarat,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,17,,
All Population,Gujarat,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.008396699544694304,0.0062521085989820455,0.010852525802354981
All Population,Haryana,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,17,,
All Population,Haryana,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.00813104175886413,0.006140663647439909,0.010461452188709652
All Population,Himachal Pradesh,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,17,,
All Population,Himachal Pradesh,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.006111256640671953,0.003838173558377109,0.00979981326049087
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,13,,
All Population,Jammu & Kashmir and Ladakh,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.0129440131936513,0.007484615023871555,0.020052331952154667
All Population,Jharkhand,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,14,,
All Population,Jharkhand,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.01680438130861803,0.011597423858058188,0.02376506995155056
All Population,Karnataka,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,15,,
All Population,Karnataka,2021,15-49 years,Both,Maternal and neonatal disorders,Percent of total deaths,0.009704498690735133,0.0075896325886447924,0.01224955169404645
All Population,Kerala,2021,15-49 years,Both,Maternal and neonatal disorders,Death rank,15,,
